class,Java bytecode class,https://www.file-extensions.org/class-file-extension
crdownload,Google Chrome incomplete download,https://www.file-extensions.org/crdownload-file-extension
css,Cascading Style Sheets,https://www.file-extensions.org/css-file-extension
dlc,JDownloader download link container,https://www.file-extensions.org/dlc-file-extension-jdownloader-download-link-container
download,Mozilla partial download,https://www.file-extensions.org/download-file-extension-mozilla-partial-download
download,Apple Safari partial download,https://www.file-extensions.org/download-file-extension-apple-safari-partial-download
eml,Email message,https://www.file-extensions.org/eml-file-extension
flv,Flash video,https://www.file-extensions.org/flv-file-extension
gdoc,Link to Google Docs web application document,https://www.file-extensions.org/gdoc-file-extension
gif,Graphics interchange file format,https://www.file-extensions.org/gif-file-extension
gsheet,Link to Google Sheets web application spreadsheet document,https://www.file-extensions.org/gsheet-file-extension
gslides,Link to Google Slides web application presentation,https://www.file-extensions.org/gslides-file-extension
htm,HTML Hypertext Markup Language web page,https://www.file-extensions.org/htm-file-extension
html,HyperText Markup Language web page,https://www.file-extensions.org/html-file-extension
js,JavaScript source code script,https://www.file-extensions.org/js-file-extension
json,JavaScript object notation data interchange format,https://www.file-extensions.org/json-file-extension
jsp,JAVA Server page file,https://www.file-extensions.org/jsp-file-extension
jws,Oracle WebLogic Server Java Web Services data,https://www.file-extensions.org/jws-file-extension
mht,Mime HTML (MHTML) document,https://www.file-extensions.org/mht-file-extension
opml,OPML Outline Processor Markup Language file format,https://www.file-extensions.org/opml-file-extension
part,Partial download,https://www.file-extensions.org/part-file-extension
partial,Microsoft partially downloaded data,https://www.file-extensions.org/partial-file-extension
php,PHP script or page,https://www.file-extensions.org/php-file-extension
png,Portable Network Graphic file,https://www.file-extensions.org/png-file-extension
rss,Really Simple Syndication - RSS file format,https://www.file-extensions.org/rss-file-extension
swf,"ShockWave Flash, Animated vector format for the Internet",https://www.file-extensions.org/swf-file-extension
torrent,BitTorrent information,https://www.file-extensions.org/torrent-file-extension
webm,Matroska WebM video,https://www.file-extensions.org/webm-file-extension
webp,Google image file format,https://www.file-extensions.org/webp-file-extension
xap,Microsoft Windows Phone and Microsoft Silverlight application package,https://www.file-extensions.org/xap-file-extension
xhtml,Extensible HTML document,https://www.file-extensions.org/xhtml-file-extension
xml,XML document,https://www.file-extensions.org/xml-file-extension
xsd,XML schema description,https://www.file-extensions.org/xsd-file-extension
xsl,XML eXtensible stylesheet,https://www.file-extensions.org/xsl-file-extension
xslt,XSL transform data,https://www.file-extensions.org/xslt-file-extension
dbx,Microsoft Outlook Express e-mail folder,https://www.file-extensions.org/dbx-file-extension
eml,Email message,https://www.file-extensions.org/eml-file-extension
ldif,LDIF address book interchange format,https://www.file-extensions.org/ldif-file-extension
mht,Mime HTML (MHTML) document,https://www.file-extensions.org/mht-file-extension
msg,Saved email message file,https://www.file-extensions.org/msg-file-extension
pst,Microsoft Outlook personal storage table,https://www.file-extensions.org/pst-file-extension
vcf,vCard contacts,https://www.file-extensions.org/vcf-file-extension
app,Mac application package or core system service,https://www.file-extensions.org/app-file-extension
asp,Active Server Page script page,https://www.file-extensions.org/asp-file-extension
bat,Batch file (executable),https://www.file-extensions.org/bat-file-extension
chm,Microsoft compiled HTML help module,https://www.file-extensions.org/chm-file-extension
